"Adilson de Lima Pereira","Um Ambiente para a Prática Remota de Aulas Laboratoriais de Física ( determinação da viscosidade de líquidos)"
"Adriana BENEVIDES SOARES","Ensinando Geometria a Deficientes Visuais: o ambiente dinâmico Geometrix"
"Afranio Gabriel da Silva","Laboratório virtual como alternativa didática para  auxiliar o ensino de química no ensino médio"
"Alberto Elfes","Educação a Distância em Robótica e Visão Computacional"
"Aldo von Wangenheim","Avaliação de Ferramentas de Autoria Gratuitas para produção de Objetos de Aprendizagem no padrão SCORM"
"Alexandra Lorandi Macedo","Rede de Conceitos: tecnologia de mineração de texto para apoiar práticas pedagógicas no acompanhamento da escrita coletiva"
"Alexandre Magno Andrade Maciel","Desenvolvimento de uma Ferramenta para a Construção e Integração de Personagens Virtuais Animados com Voz Sintética a Materiais Didáticos para EAD"
"Alexandre Moreira Feitosa","Análise do uso de formalização de conhecimento heurístico no ensino de táticas de jogos através do estímulo à alternância entre competição e colaboração"
"Alexandre Scaico","Ensino de Programação no Ensino Médio: Uma Abordagem Orientada ao Design com a linguagem Scratch"
"Amanda Bifano Balbinot","Proposta de um instrumento digital para a verificação do comportamento de motoristas"
"Amarolinda Zanela Klein","Um Modelo Sensível ao Contexto Orientado à Gestão por Competências"
"Ana Beatriz Gomes Carvalho","O PAPEL DA UNIREDE NA CONSTRUÇÃO DAS POLÍTICAS PÚBLICAS PARA A EAD NO BRASIL"
"Ana Cristina Barbosa da Silva","Avaliação de softwares educativos para o ensino de Língua Portuguesa"
"Ana Regina Rocha","Educação de Pacientes através de Sistemas de Acesso Público"
"Anderson Alves de Lima","Ensino de Programação no Ensino Médio: Uma Abordagem Orientada ao Design com a linguagem Scratch"
"André Inácio Reis","Karma: um ambiente para o aprendizado de síntese de funções Booleanas"
"André Laurindo Maitelli","Um Ambiente Computacional para Modelagem Simbólica de Sistemas Físicos Lineares Utilizando Grafos"
"André Luis Alice Raabe","Zorelha: Um Objeto de Aprendizagem Para Auxiliar o Desenvolvimento da Percepção Musical em Crianças de 4 a 6 Anos"
"André Luis Raabe","Avaliação Empírica da Proposta Interdisciplinar de Uso dos Processadores BIP"
"André Luiz Battaiola","Exploração do Uso de Realidade Virtual no Aprendizado de Habilidades Acadêmicas para o Ensino Fundamental"
"André Luiz Brandão","MODELO PARA COMPARTILHAMENTO DE PERFIS DE APRENDIZ ENTRE SISTEMAS DE APRENDIZAGEM NA WEB"
"André Marcelo Panhan","Avaliação Multidimensional Baseada em Lógica difusa para Ambientes de Ensino Mediado por Computador"
"Andreia Malucelli","Processo de Desenvolvimento para Jogos Eletrônicos Educacionais: uma Revisão de Literatura"
