"Arcilan Trevensoli Assireu","Material didático multimídia aplicado a educação semipresencial: um relato de experiência na graduação"
"Ayla Débora Dantas de Souza Rebouças","GameMaking: Uma Metodologia para o Ensino de Informática para Alunos do Ensino Fundamental através da criação de Jogos Digitais"
"Baldoino Fonseca","Sistemas de Autoria para Construção de Ambientes Interativos de Aprendizagem Baseada em Agentes"
"Carlos André Guimarães Ferraz","Distributed Coauthoring of Courses on the Internet"
"Patrícia C. Souza",""
"Rejane Cunha Freitas","Usabilidade e Interatividade em Sistemas Web para Cursos Online"
"Rosa Giaretta Sguerra Miskulin","ANÁLISE MICROGENÉTICA DE PROCESSOS COGNITIVOS EM CONTEXTOS MÚLTIPLOS DE RESOLUÇÃO DE PROBLEMAS"
"Rosa Maria E. M. da Costa","Simulando a dinâmica populacional de uma colmeia para o ensino de Biologia"
"Rosa Vicari","UbiGroup: Um Modelo de Recomendação Ubíqua de Conteúdo para Grupos Dinâmicos de Aprendizes"
"Rosana Mussoi Bruno","O Uso de Simuladores no Ensino da Medicina"
"Rosangela M Melo","Percepção social em EAD: Identificando necessidades para o LMS Amadeus"
"Rosângela S Carvalho","Percepção social em EAD: Identificando necessidades para o LMS Amadeus"
"Rosângela Saraiva Carvalho","Análise comparativa da Usabilidade dos Ambientes de Gestão da Aprendizagem Amadeus e Moodle"
"Rosiclei Aparecida Cavichioli Lauermann","REGULARIDADES E TRANSFORMAÇÕES EM HIPERMÍDIA EDUCACIONAL"
"Rossana M. C. Andrade","LOCPN: REDES DE PETRI COLORIDAS NA PRODUÇÃO DE OBJETOS DE APRENDIZAGEM"
"Rozelma Soares de França","Avaliação de softwares educativos para o ensino de Língua Portuguesa"
"RUBÉN DARÍO MARTÍNEZ","SCHOOL EQUIPMENT AND SOME IMPLICATIONS"
"Rubens Campos Machado","Educação a Distância em Robótica e Visão Computacional"
"Rubens N. Melo","RECONHECIMENTO E AGRUPAMENTO DE OBJETOS DE APRENDIZAGEM SEMELHANTES"
"Rudinei Goularte","INFRAESTRUTURA DE SUPORTE À EDITORAÇÃO DE MATERIAL DIDÁTICO UTILIZANDO MULTIMÍDIA"
"Ryan Baker","Mineração de Dados Educacionais: Oportunidades para o Brasil"
"Sabrina Skrebsky Richter","REGULARIDADES E TRANSFORMAÇÕES EM HIPERMÍDIA EDUCACIONAL"
"SAHUDY MONTENEGRO GONZALEZ","INTEGRAÇÃO DE UMA METODOLOGIA DE ENSINO PRESENCIAL DE PROGRAMAÇÃO COM UM SISTEMA TUTOR INTELIGENTE"
"Salvador SánchezAlonso","Avaliação Automática da Qualidade de Objetos de Aprendizagem dentro de Repositórios"
"Samuel Siqueira Bueno","Educação a Distância em Robótica e Visão Computacional"
"Sandra Lúcia Silva Araújo","The use of computer resources as a mediating instrument in the teaching and learning process of persons with special needs: an experience report"
"Sandro Athaíde Coelho","Uma biblioteca gráfica para aprendizagem de algoritmos e estruturas de dados"
"Saulo Andrade","Sabadágil: Métodos Ágeis de Desenvolvimento de Software aplicado ao Ensino"
"Sean W. M. Siqueira","RECONHECIMENTO E AGRUPAMENTO DE OBJETOS DE APRENDIZAGEM SEMELHANTES"
"Sergio Crespo C S Pinto","Um Modelo para Geração de Perfis de Usuários Baseado em Técnicas de Psicometria"
"Sérgio Crespo C S Pinto","FÁBRICA DE ADEQUAÇÃO DE OBJETOS DE APRENDIZAGEM"
"Sérgio Crespo Pinto","Customizando Ambientes na Web para Língua Brasileira de Sinais Usando WebServices"
"Sergio Ferreira do Amaral","Nativos e imigrantes: Questionando a fluência tecnológica docente"
"Sheila da Costa Oliveira","A INTELIGÊNCIA LINGÜÍSTICA EM EDUCAÇÃO A DISTÂNCIA"
"Sheila Reinehr","Processo de Desenvolvimento para Jogos Eletrônicos Educacionais: uma Revisão de Literatura"
"Shirley Takeco Gobara","UM AMBIENTE VIRTUAL PARA A APRENDIZAGEM DE CONCEITOS SOBRE ONDAS SONORAS: CONCEPÇÃO E PRIMEIRAS ANÁLISES"
"Sidnei Renato Silveira","FORMAÇÃO DE GRUPOS COLABORATIVOS EM CURSOS A DISTÂNCIA VIA WEB: UM ESTUDO DE CASO UTILIZANDO TÉCNICAS DE INTELIGÊNCIA ARTIFICIAL"
"Silvana Rossy de Brito","Ambiente de Apoio à Mediação da Aprendizagem: Uma bordagem Orientada por Processos e Projetos"
"Silvia Azevedo","Ensino de Programação no Ensino Médio: Uma Abordagem Orientada ao Design com a linguagem Scratch"
"Silvia Costa Botelho","Ambientes Tecnológicos Lúdicos de Autoria (ATLA): uma proposta para potencialização dos processos de ensino e aprendizagem"
"Sílvia Cristina de Matos Soares","DESIGN COM CRIANÇAS: DA PRÁTICA A UM MODELO DE PROCESSO"
"Silvia Cristina Freitas Batista","Trigonometria Dinâmica: unidade de aprendizagem online para estudo de Trigonometria"
"Sílvia H. ZemMascarenhas","Estratégias Cognitivas como Soluções de Sucesso no Projeto do Material Institucional para EAD"
"Silvia Helena De Bortoli Cassiani","A Leap into the Future of Education in Administration of Medicines: Development of an Instructional Program Aided by Computer"
